years BP 2000,permille
10150,-35.38
10150,-36.27
10200,-36.27
10200,-35.73
10250,-35.73
10250,-36.18
10300,-36.18
10300,-36.22
10350,-36.22
10350,-36.09
10400,-36.09
10400,-35.7
10450,-35.7
10450,-35.9
10500,-35.9
10500,-36.3
10550,-36.3
10550,-35.62
10600,-35.62
10600,-36.17
10650,-36.17
10650,-36.31
10700,-36.31
10700,-36.54
10750,-36.54
10750,-37.36
10800,-37.36
10800,-37.23
10850,-37.23
10850,-36.99
10900,-36.99
10900,-36.7
10950,-36.7
10950,-36.78
11000,-36.78
11000,-36.73
11050,-36.73
11050,-37.48
11100,-37.48
11100,-36.51
11150,-36.51
11150,-36.96
11200,-36.96
11200,-37.44
11250,-37.44
11250,-37.98
11300,-37.98
11300,-38.03
11350,-38.03
11350,-37.13
11400,-37.13
11400,-36.77
11450,-36.77
11450,-36.7
11500,-36.7
11500,-38.99
11550,-38.99
11550,-40.22
11600,-40.22
11600,-40.22
11650,-40.22
11650,-39.71
11700,-39.71
11700,-40.84
11750,-40.84
11750,-41.04
11800,-41.04
11800,-40.41
11850,-40.41
11850,-39.95
11900,-39.95
11900,-41.22
11950,-41.22
11950,-41.38
12000,-41.38
12000,-40.63
12050,-40.63
12050,-40.39
12100,-40.39
12100,-40.76
12150,-40.76
12150,-41.37
12200,-41.37
12200,-40.97
12250,-40.97
12250,-41.06
12300,-41.06
12300,-40.54
12350,-40.54
12350,-40.82
12400,-40.82
12400,-41.67
12450,-41.67
12450,-41.11
12500,-41.11
12500,-42.21
12550,-42.21
12550,-40.86
12600,-40.86
12600,-40.18
12650,-40.18
12650,-39.53
12700,-39.53
12700,-39.03
12750,-39.03
12750,-38.76
12800,-38.76
12800,-39.38
12850,-39.38
12850,-39.88
12900,-39.88
12900,-40.07
12950,-40.07
12950,-41.07
13000,-41.07
13000,-40.05
13050,-40.05
13050,-40.2
13100,-40.2
13100,-39.07
13150,-39.07
13150,-39.19
13200,-39.19
13200,-38.57
13250,-38.57
13250,-38.44
13300,-38.44
13300,-38.61
13350,-38.61
13350,-38.01
13400,-38.01
13400,-38.52
13450,-38.52
13450,-39.25
13500,-39.25
13500,-39.77
13550,-39.77
13550,-38.74
13600,-38.74
13600,-38.25
13650,-38.25
13650,-39.08
13700,-39.08
13700,-38.38
13750,-38.38
13750,-38.08
13800,-38.08
13800,-38.39
13850,-38.39
13850,-39.46
13900,-39.46
13900,-40.11
13950,-40.11
13950,-39.71
14000,-39.71
14000,-38.25
14050,-38.25
14050,-38.14
14100,-38.14
14100,-37.89
14150,-37.89
14150,-37.59
14200,-37.59
14200,-37.21
14250,-37.21
14250,-37.17
14300,-37.17
14300,-36.95
14350,-36.95
14350,-37.29
14400,-37.29
14400,-36.26
14450,-36.26
14450,-36.25
14500,-36.25
14500,-36.4
14550,-36.4
14550,-37.47
14600,-37.47
14600,-40.06
14650,-40.06
14650,-41.75
14700,-41.75
14700,-40.58
14750,-40.58
14750,-41.6
14800,-41.6
14800,-41.13
14850,-41.13
14850,-41.56
14900,-41.56
14900,-42.31
14950,-42.31
14950,-42.03
15000,-42.03
15000,-42.06
15050,-42.06
15050,-42.01
15100,-42.01
15100,-42.23
15150,-42.23
15150,-42.55
15200,-42.55
15200,-40.78
15250,-40.78
15250,-42.38
15300,-42.38
15300,-42
15350,-42
15350,-42.55
15400,-42.55
15400,-43.48
15450,-43.48
15450,-42.76
15500,-42.76
15500,-41.94
15550,-41.94
15550,-43.63
15600,-43.63
15600,-43.29
15650,-43.29
15650,-41.41
15700,-41.41
15700,-41.92
15750,-41.92
15750,-41.69
15800,-41.69
15800,-41.88
15850,-41.88
15850,-41.53
15900,-41.53
15900,-43.56
15950,-43.56
15950,-42.18
16000,-42.18
16000,-42.41
16050,-42.41
16050,-41.45
16100,-41.45
16100,-42.01
16150,-42.01
16150,-41.61
16200,-41.61
16200,-41.68
16250,-41.68
16250,-40.8
16300,-40.8
16300,-41
16350,-41
16350,-41.82
16400,-41.82
16400,-41.36
16450,-41.36
16450,-41.17
16500,-41.17
16500,-40.44
16550,-40.44
16550,-40.31
16600,-40.31
16600,-41.9
16650,-41.9
16650,-41.28
16700,-41.28
16700,-40.42
16750,-40.42
16750,-40.42
16800,-40.42
16800,-40.45
16850,-40.45
16850,-40.99
16900,-40.99
16900,-40.76
16950,-40.76
16950,-41.02
17000,-41.02
17000,-42.02
17050,-42.02
17050,-41.14
17100,-41.14
17100,-40.27
17150,-40.27
17150,-40.18
17200,-40.18
17200,-41.44
17250,-41.44
17250,-40.66
17300,-40.66
17300,-41.15
17350,-41.15
17350,-41.88
17400,-41.88
17400,-42.16
17450,-42.16
17450,-42.6
17500,-42.6
17500,-41.8
17550,-41.8
17550,-42.53
17600,-42.53
17600,-41.83
17650,-41.83
17650,-41.35
17700,-41.35
17700,-42.07
17750,-42.07
17750,-42.47
17800,-42.47
17800,-42.63
17850,-42.63
17850,-42.35
17900,-42.35
17900,-42.25
17950,-42.25
17950,-41.69
18000,-41.69
18000,-40.73
18050,-40.73
18050,-41.66
18100,-41.66
18100,-40.93
18150,-40.93
18150,-41.45
18200,-41.45
18200,-42.09
18250,-42.09
18250,-41.28
18300,-41.28
18300,-41.04
18350,-41.04
18350,-41.89
18400,-41.89
18400,-41.32
18450,-41.32
18450,-42.19
18500,-42.19
18500,-41.71
18550,-41.71
18550,-42.34
18600,-42.34
18600,-42.48
18650,-42.48
18650,-42.31
18700,-42.31
18700,-41.37
18750,-41.37
18750,-42.18
18800,-42.18
18800,-42.82
18850,-42.82
18850,-41.26
18900,-41.26
18900,-41.97
