"","REGION","start_of_increase","Mod_explained","start_of_increase_sensitivity","Mod_explained_sens"
"1","North America",3300,0.83,2200,0.75
"2","Latin America",4600,0.48,5200,0.35
"3","Europe",4000,0.87,3200,0.71
"4","Africa",7800,0.44,7100,0.13
"5","Asia",3500,0.42,7800,0.1
"6","Oceania",2900,0.85,2500,0.85
